Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Imp Vol","20D His Vol"
$SPX|20210618|2620.00C,$SPX,"2,620.00",+38.13%,"1,612.30","1,614.25","1,616.20","1,476.73","1,476.73",unch,1,1,1.00,164.36%,Call,4,06/18/21,05/19/21,12.18%,7.33%
$SPX|20210618|2625.00C,$SPX,"2,625.00",+38.01%,"1,607.30","1,609.20","1,611.10","1,471.78",419.74,+39.90%,1,141,0.01,161.92%,Call,4,06/18/21,05/19/21,12.18%,7.33%
$SPX|20210618|2630.00C,$SPX,"2,630.00",+37.89%,"1,602.30","1,604.25","1,606.20",0.00,0.00,unch,0,0,0.00,163.15%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2640.00C,$SPX,"2,640.00",+37.66%,"1,592.30","1,594.25","1,596.20",0.00,0.00,unch,0,0,0.00,161.95%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2650.00C,$SPX,"2,650.00",+37.42%,"1,582.30","1,584.00","1,585.70","1,422.66",219.66,+18.26%,1,796,0.00,149.27%,Call,4,06/18/21,05/19/21,12.18%,7.33%
$SPX|20210618|2660.00C,$SPX,"2,660.00",+37.18%,"1,572.40","1,574.30","1,576.20","1,137.72","1,137.72",unch,2,2,1.00,161.19%,Call,4,06/18/21,01/27/21,12.18%,7.33%
$SPX|20210618|2670.00C,$SPX,"2,670.00",+36.95%,"1,562.40","1,564.30","1,566.20","1,426.98","1,426.98",unch,1,1,1.00,159.99%,Call,4,06/18/21,05/19/21,12.18%,7.33%
$SPX|20210618|2675.00C,$SPX,"2,675.00",+36.83%,"1,557.40","1,559.25","1,561.10","1,422.08",33.66,+2.42%,1,755,0.00,157.75%,Call,4,06/18/21,05/19/21,12.18%,7.33%
$SPX|20210618|2680.00C,$SPX,"2,680.00",+36.71%,"1,552.40","1,554.30","1,556.20","1,154.09","1,154.09",unch,1,2,0.50,158.79%,Call,4,06/18/21,03/03/21,12.18%,7.33%
$SPX|20210618|2690.00C,$SPX,"2,690.00",+36.48%,"1,542.40","1,544.30","1,546.20",0.00,0.00,unch,0,0,0.00,157.59%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2700.00C,$SPX,"2,700.00",+36.24%,"1,532.40","1,534.25","1,536.10","1,499.40",-13.33,-0.88%,2,"1,644",0.00,154.79%,Call,4,06/18/21,06/02/21,12.18%,7.33%
$SPX|20210618|2710.00C,$SPX,"2,710.00",+36.00%,"1,522.40","1,524.30","1,526.20",0.00,0.00,unch,0,0,0.00,155.21%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2720.00C,$SPX,"2,720.00",+35.77%,"1,512.40","1,514.30","1,516.20","1,085.95","1,085.95",unch,1,1,1.00,154.02%,Call,4,06/18/21,01/14/21,12.18%,7.33%
$SPX|20210618|2725.00C,$SPX,"2,725.00",+35.65%,"1,507.40","1,509.25","1,511.10",987.42,357.16,+56.67%,49,452,0.11,151.85%,Call,4,06/18/21,12/24/20,12.18%,7.33%
$SPX|20210618|2730.00C,$SPX,"2,730.00",+35.53%,"1,502.40","1,504.30","1,506.20",0.00,0.00,unch,0,0,0.00,152.84%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2740.00C,$SPX,"2,740.00",+35.30%,"1,492.40","1,494.30","1,496.20",0.00,0.00,unch,0,0,0.00,151.66%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2750.00C,$SPX,"2,750.00",+35.06%,"1,482.40","1,484.25","1,486.10","1,485.41",391.21,+35.75%,7,"2,107",0.00,148.93%,Call,4,06/18/21,06/11/21,12.18%,7.33%
$SPX|20210618|2760.00C,$SPX,"2,760.00",+34.82%,"1,472.40","1,474.25","1,476.10",0.00,0.00,unch,0,0,0.00,147.77%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2770.00C,$SPX,"2,770.00",+34.59%,"1,462.40","1,464.25","1,466.10",0.00,0.00,unch,0,0,0.00,146.61%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2775.00C,$SPX,"2,775.00",+34.47%,"1,457.40","1,459.15","1,460.90",659.00,-19.60,-2.89%,10,394,0.03,142.54%,Call,4,06/18/21,09/29/20,12.18%,7.33%
$SPX|20210618|2780.00C,$SPX,"2,780.00",+34.35%,"1,452.40","1,454.05","1,455.70",0.00,0.00,unch,0,0,0.00,137.63%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2790.00C,$SPX,"2,790.00",+34.11%,"1,442.40","1,444.25","1,446.10",0.00,0.00,unch,0,0,0.00,144.31%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2800.00C,$SPX,"2,800.00",+33.88%,"1,432.40","1,434.15","1,435.90","1,057.97",55.37,+5.52%,4,"5,569",0.00,139.73%,Call,4,06/18/21,02/02/21,12.18%,7.33%
$SPX|20210618|2810.00C,$SPX,"2,810.00",+33.64%,"1,421.90","1,423.85","1,425.80",0.00,0.00,unch,0,0,0.00,117.82%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2820.00C,$SPX,"2,820.00",+33.41%,"1,411.90","1,413.85","1,415.80",0.00,0.00,unch,0,0,0.00,116.85%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2825.00C,$SPX,"2,825.00",+33.29%,"1,407.30","1,409.05","1,410.80",995.14,86.01,+9.46%,1,903,0.00,132.73%,Call,4,06/18/21,01/11/21,12.18%,7.33%
$SPX|20210618|2830.00C,$SPX,"2,830.00",+33.17%,"1,402.30","1,404.20","1,406.10",0.00,0.00,unch,0,0,0.00,138.15%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2840.00C,$SPX,"2,840.00",+32.93%,"1,392.30","1,394.20","1,396.10",0.00,0.00,unch,0,0,0.00,137.04%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2850.00C,$SPX,"2,850.00",+32.70%,"1,382.30","1,384.05","1,385.80","1,389.50",38.50,+2.85%,2,"5,618",0.00,130.04%,Call,4,06/18/21,"10:53 ET",12.18%,7.33%
$SPX|20210618|2860.00C,$SPX,"2,860.00",+32.46%,"1,372.30","1,374.00","1,375.70",0.00,0.00,unch,0,0,0.00,126.41%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2870.00C,$SPX,"2,870.00",+32.23%,"1,362.30","1,364.00","1,365.70","1,075.67","1,075.67",unch,4,4,1.00,125.36%,Call,4,06/18/21,03/17/21,12.18%,7.33%
$SPX|20210618|2875.00C,$SPX,"2,875.00",+32.11%,"1,357.30","1,359.05","1,360.80","1,109.49",131.19,+13.41%,52,"1,345",0.04,127.37%,Call,4,06/18/21,03/31/21,12.18%,7.33%
$SPX|20210618|2880.00C,$SPX,"2,880.00",+31.99%,"1,352.30","1,354.20","1,356.10",0.00,0.00,unch,0,0,0.00,132.59%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2890.00C,$SPX,"2,890.00",+31.75%,"1,342.30","1,344.20","1,346.10",0.00,0.00,unch,0,0,0.00,131.49%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2900.00C,$SPX,"2,900.00",+31.52%,"1,332.30","1,334.10","1,335.90","1,344.50",77.05,+6.08%,1,"6,001",0.00,126.84%,Call,4,06/18/21,"09:31 ET",12.18%,7.33%
$SPX|20210618|2910.00C,$SPX,"2,910.00",+31.28%,"1,322.30","1,324.15","1,326.00","1,308.88",350.35,+36.55%,1,1,1.00,127.63%,Call,4,06/18/21,06/07/21,12.18%,7.33%
$SPX|20210618|2920.00C,$SPX,"2,920.00",+31.05%,"1,312.30","1,314.15","1,316.00",0.00,0.00,unch,0,0,0.00,126.55%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2925.00C,$SPX,"2,925.00",+30.93%,"1,307.30","1,309.05","1,310.80",931.81,467.31,+100.60%,250,"1,698",0.15,122.09%,Call,4,06/18/21,02/03/21,12.18%,7.33%
$SPX|20210618|2930.00C,$SPX,"2,930.00",+30.81%,"1,302.30","1,304.15","1,306.00",0.00,0.00,unch,0,0,0.00,125.48%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2940.00C,$SPX,"2,940.00",+30.57%,"1,292.30","1,294.25","1,296.20","1,009.03",39.70,+4.10%,1,2,0.50,127.52%,Call,4,06/18/21,03/17/21,12.18%,7.33%
$SPX|20210618|2950.00C,$SPX,"2,950.00",+30.34%,"1,281.90","1,283.90","1,285.90","1,123.67",252.13,+28.93%,5,"3,681",0.00,110.35%,Call,4,06/18/21,04/05/21,12.18%,7.33%
$SPX|20210618|2960.00C,$SPX,"2,960.00",+30.10%,"1,271.90","1,273.95","1,276.00","1,198.67",376.94,+45.87%,50,52,0.96,113.17%,Call,4,06/18/21,05/20/21,12.18%,7.33%
$SPX|20210618|2970.00C,$SPX,"2,970.00",+29.86%,"1,261.90","1,263.95","1,266.00","1,104.25","1,104.25",unch,10,10,1.00,112.17%,Call,4,06/18/21,05/19/21,12.18%,7.33%
$SPX|20210618|2975.00C,$SPX,"2,975.00",+29.75%,"1,256.90","1,258.95","1,261.00",874.00,364.00,+71.37%,150,"1,430",0.10,111.67%,Call,4,06/18/21,01/28/21,12.18%,7.33%
$SPX|20210618|2980.00C,$SPX,"2,980.00",+29.63%,"1,251.90","1,253.95","1,256.00",0.00,0.00,unch,0,0,0.00,111.18%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2990.00C,$SPX,"2,990.00",+29.39%,"1,242.30","1,244.30","1,246.30",0.00,0.00,unch,0,0,0.00,123.40%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|2995.00C,$SPX,"2,995.00",+29.27%,"1,237.30","1,239.10","1,240.90",0.00,0.00,unch,0,0,0.00,116.81%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|3000.00C,$SPX,"3,000.00",+29.16%,"1,232.30","1,234.20","1,236.10","1,240.10",3.72,+0.30%,300,"62,849",0.00,119.59%,Call,4,06/18/21,06/11/21,12.18%,7.33%
$SPX|20210618|3005.00C,$SPX,"3,005.00",+29.04%,"1,227.30","1,229.10","1,230.90",0.00,0.00,unch,0,0,0.00,115.77%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|3010.00C,$SPX,"3,010.00",+28.92%,"1,222.30","1,224.10","1,225.90",885.21,885.21,unch,27,27,1.00,115.25%,Call,4,06/18/21,03/02/21,12.18%,7.33%
$SPX|20210618|3015.00C,$SPX,"3,015.00",+28.80%,"1,217.30","1,219.10","1,220.90",0.00,0.00,unch,0,0,0.00,114.73%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|3020.00C,$SPX,"3,020.00",+28.68%,"1,212.30","1,214.05","1,215.80",0.00,0.00,unch,0,0,0.00,112.27%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|3025.00C,$SPX,"3,025.00",+28.57%,"1,207.30","1,209.20","1,211.10",900.80,-9.20,-1.01%,1,"2,353",0.00,116.94%,Call,4,06/18/21,03/18/21,12.18%,7.33%
$SPX|20210618|3030.00C,$SPX,"3,030.00",+28.45%,"1,202.30","1,204.05","1,205.80","1,196.07",80.75,+7.24%,1,1,1.00,111.25%,Call,4,06/18/21,06/09/21,12.18%,7.33%
$SPX|20210618|3035.00C,$SPX,"3,035.00",+28.33%,"1,197.30","1,199.35","1,201.40",0.00,0.00,unch,0,0,0.00,119.71%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|3040.00C,$SPX,"3,040.00",+28.21%,"1,192.30","1,194.05","1,195.80","1,201.51",15.47,+1.30%,1,1,1.00,110.24%,Call,4,06/18/21,"10:00 ET",12.18%,7.33%
$SPX|20210618|3045.00C,$SPX,"3,045.00",+28.09%,"1,187.30","1,189.05","1,190.80",0.00,0.00,unch,0,0,0.00,109.73%,Call,4,06/18/21,N/A,12.18%,7.33%
$SPX|20210618|3050.00C,$SPX,"3,050.00",+27.98%,"1,182.30","1,184.25","1,186.20",907.62,118.21,+14.97%,50,"6,054",0.01,115.67%,Call,4,06/18/21,03/31/21,12.18%,7.33%
